"Florence, SC",6994,7241,7709,7898,8119,8169,229
"Florence-Muscle Shoals, AL","4,260","4,520","4,502","4,679","4,816","4,939",322
"Fond du Lac, WI",3952,4102,4243,4490,4659,4758,328
"Fort Collins, CO","12,245","13,004","14,119","14,310","15,062","15,923",150
"Fort Smith, AR-OK",9795,9879,10091,10376,10033,10002,202
"Fort Wayne, IN","17,897","18,586","18,795","19,529","20,447","20,876",115
"Fresno, CA",34043,33971,36181,37323,38784,40465,69
"Gadsden, AL","2,669","2,699","2,652","2,715","2,803","2,929",375
"Gainesville, FL",10595,10950,11740,11608,11969,12498,179
"Gainesville, GA","6,948","7,119","7,186","7,824","8,514","8,923",218
"Gettysburg, PA",2688,2783,2919,3035,3116,3259,368
"Glens Falls, NY","4,478","4,621","4,643","4,792","4,868","4,923",323
"Goldsboro, NC",4110,4243,4330,4346,4399,4396,336
"Grand Forks, ND-MN","4,150","4,640","4,912","4,942","5,078","5,300",303
"Grand Island, NE",3720,3951,4041,4031,4099,4238,341
"Grand Junction, CO","5,045","5,159","5,180","5,375","5,256","5,133",311
"Grand Rapids-Wyoming, MI",43093,46406,49187,52349,56176,58465,53
"Grants Pass, OR","1,906","1,976","1,948","2,063","2,230","2,362",380
"Great Falls, MT",3119,3110,3102,3304,3430,3493,364
"Greeley, CO","8,138","8,723","9,332","10,916","11,453","11,231",188
"Green Bay, WI",15711,16326,16652,17089,17990,18437,132
"Greensboro-High Point, NC","35,408","35,356","36,567","38,257","39,524","39,944",71
"Greenville, NC",6803,6998,7320,7497,7840,8213,228
"Greenville-Anderson-Mauldin, SC","32,653","33,367","34,669","36,541","39,028","40,693",67
"Gulfport-Biloxi-Pascagoula, MS",15531,17173,16445,16326,16371,16287,147
"Hagerstown-Martinsburg, MD-WV","8,122","8,544","8,852","9,267","9,458","9,723",207
"Hammond, LA",3895,3794,3650,3846,3627,3752,361
"Hanford-Corcoran, CA","5,086","4,796","4,908","5,327","5,037","5,092",315
"Harrisburg-Carlisle, PA",30902,31675,32544,33554,34925,35465,77
"Harrisonburg, VA","6,996","7,219","7,340","7,494","7,846","7,837",233
"Hartford-West Hartford-East Hartford, CT",82874,82791,82699,83316,88531,90004,40
"Hattiesburg, MS","5,025","5,236","5,315","5,500","5,769","5,927",278
"Hickory-Lenoir-Morganton, NC",11481,11657,11867,12250,13003,13535,169
"Hilton Head Island-Bluffton-Beaufort, SC","7,408","7,557","7,783","8,281","8,646","8,997",216
"Hinesville, GA",3595,3514,3593,3467,3464,3468,365
"Homosassa Springs, FL","3,199","3,198","3,087","2,973","2,989","2,945",373
"Hot Springs, AR",3011,2971,2925,2999,3052,3058,372
"Houma-Thibodaux, LA","10,721","11,537","11,845","12,203","11,271","10,043",199
"Houston-The Woodlands-Sugar Land, TX",430923,462300,488430,505758,496708,478618,6
"Huntington-Ashland, WV-KY-OH","13,194","14,028","14,877","15,112","14,824","14,407",160
"Huntsville, AL",21879,22327,22534,23329,24254,24846,104
"Idaho Falls, ID","5,435","5,444","5,522","5,707","6,093","6,285",261
"Indianapolis-Carmel-Anderson, IN",113044,116257,123565,127682,130133,135444,26
"Iowa City, IA","8,285","8,635","9,020","9,525","9,698","9,925",204
"Ithaca, NY",4456,4681,4778,4839,5002,5100,314
"Jackson, MI","5,268","5,327","5,801","5,726","5,997","6,135",269
"Jackson, MS",25355,26575,27331,28261,28603,29053,87
"Jackson, TN","5,298","5,878","5,788","5,777","5,914","6,061",273
"Jacksonville, FL",56360,58519,62170,63994,68038,71471,47
"Jacksonville, NC","7,948","7,869","7,859","7,854","7,618","7,679",238
"Janesville-Beloit, WI",5247,5432,5811,5738,6059,6399,257
"Jefferson City, MO","6,183","6,272","6,744","6,928","7,162","7,366",239
"Johnson City, TN",6048,6292,6279,6310,6672,6760,252
"Johnstown, PA","4,238","4,182","4,211","4,248","4,217","4,195",343
"Jonesboro, AR",4478,4610,4778,4795,5000,5199,307
"Joplin, MO","6,293","6,533","6,744","6,797","7,231","7,307",241
"Kahului-Wailuku-Lahaina, HI",7227,7425,7658,8004,8396,8478,222
"Kalamazoo-Portage, MI","13,210","13,488","14,003","14,450","15,708","16,209",148
"Kankakee, IL",3447,3710,3743,3802,3950,4103,348
"Kansas City, MO-KS","105,048","112,028","115,711","120,817","125,985","129,163",31
"Kennewick-Richland, WA",12178,11492,11503,11730,12558,12948,174
"Killeen-Temple, TX","16,096","16,135","15,981","16,129","16,807","17,676",134
"Kingsport-Bristol-Bristol, TN-VA",11696,12210,12063,11601,11783,11796,184
"Kingston, NY","5,265","5,460","5,608","5,665","5,910","6,088",272
"Knoxville, TN",33555,34488,34875,36376,38389,39825,72
"Kokomo, IN","3,742","3,851","4,078","4,264","4,691","4,704",329
"La Crosse-Onalaska, WI-MN",6088,6391,6458,6651,6957,7195,244
"Lafayette, LA","27,664","27,804","26,832","26,327","23,282","20,645",116
"Lafayette-West Lafayette, IN",8735,8963,9093,9415,9706,10007,201
"Lake Charles, LA","13,806","14,892","13,494","15,050","15,738","16,472",145
"Lake Havasu City-Kingman, AZ",3837,3843,3879,4011,4082,4238,342
"Lakeland-Winter Haven, FL","17,190","17,664","18,450","18,599","19,309","20,162",120
"Lancaster, PA",22297,23371,24026,25433,27364,27801,91
"Lansing-East Lansing, MI","19,113","18,974","19,315","20,072","20,794","22,016",113
"Laredo, TX",7561,7718,7775,8007,8021,8071,230
"Las Cruces, NM","6,540","6,358","6,292","6,513","6,792","6,909",249
"Las Vegas-Henderson-Paradise, NV",84875,87098,90938,94232,104508,111091,36
"Lawrence, KS","3,822","3,801","3,895","3,996","4,238","4,413",335
"Lawton, OK",4799,4652,4775,4861,4987,5028,317
"Lebanon, PA","4,310","4,424","4,612","4,663","4,808","4,961",320
"Lewiston, ID-WA",2111,2141,2171,2180,2303,2356,381
"Lewiston-Auburn, ME","3,579","3,677","3,702","3,881","3,938","4,084",350
"Lexington-Fayette, KY",23227,24536,25241,26093,28106,28990,88
"Lima, OH","5,688","5,564","5,576","6,035","5,520","5,519",292
"Lincoln, NE",15481,16616,17332,18180,18588,19203,126
"Little Rock-North Little Rock-Conway, AR","34,339","35,429","35,032","36,121","37,213","37,796",74
"Logan, UT-ID",4156,4207,4205,4449,4753,4819,326
"Longview, TX","10,648","11,090","11,292","11,633","10,495","9,753",206
"Longview, WA",3504,3589,3801,3911,3976,4096,349
"Los Angeles-Long Beach-Anaheim, CA","782,565","821,769","852,509","903,100","963,448","1,001,677",2
"Louisville/Jefferson County, KY-IN",58109,61814,62909,68350,71802,74968,46
"Lubbock, TX","10,837","11,332","12,254","12,347","12,908","13,434",171
"Lynchburg, VA",8522,8697,8882,9059,9306,9463,211
"Macon, GA","8,055","8,262","8,614","9,182","9,420","9,474",210
"Madera, CA",4286,4605,4899,5275,5071,5150,310
"Madison, WI","37,688","38,949","40,558","41,459","45,223","47,425",61
"Manchester-Nashua, NH",22405,22678,23504,24301,25832,26826,96
"Manhattan, KS","3,338","3,221","3,205","3,283","3,479","3,554",363
"Mankato-North Mankato, MN",4237,4528,4738,4974,5191,5381,298
"Mansfield, OH","3,906","3,997","4,120","4,279","4,297","4,343",337
"McAllen-Edinburg-Mission, TX",16131,16828,17593,18501,19186,19588,125
"Medford, OR","6,198","6,532","6,842","7,204","7,644","8,014",231
"Memphis, TN-MS-AR",63446,65185,65873,66893,69316,71450,48
"Merced, CA","7,288","6,974","7,695","8,339","8,001","8,254",225
"Miami-Fort Lauderdale-West Palm Beach, FL",254343,266563,268217,292244,314333,328482,12
"Michigan City-La Porte, IN","3,739","3,839","3,922","3,915","3,820","3,834",357
"Midland, MI",4039,4045,4083,4760,5195,5473,295
"Midland, TX","26,208","29,991","33,428","35,588","26,365","24,224",105
"Milwaukee-Waukesha-West Allis, WI",90910,93915,96996,100037,98975,100869,38
"Minneapolis-St. Paul-Bloomington, MN-WI","207,711","213,853","220,936","232,260","240,931","246,689",15
"Missoula, MT",4331,4570,4597,4686,5041,5200,306
"Mobile, AL","17,719","17,568","17,553","17,978","18,575","18,907",128
"Modesto, CA",16450,16529,17204,18392,19015,19730,124
"Monroe, LA","6,410","6,444","6,689","6,790","7,128","7,311",240
"Monroe, MI",4183,4394,4527,4591,4666,4672,330
"Montgomery, AL","15,446","15,653","15,995","16,171","16,732","17,351",139
"Morgantown, WV",6207,6448,6773,7097,7507,7704,236
"Morristown, TN","3,369","3,643","3,714","3,877","4,075","4,139",345
"Mount Vernon-Anacortes, WA",5387,5239,5517,5575,5934,5889,279
"Muncie, IN","3,434","3,648","3,673","3,690","3,763","3,765",360
"Muskegon, MI",4956,5106,5257,5476,5661,5687,286
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","13,429","14,017","14,658","15,270","16,056","16,579",144
"Napa, CA",7515,8300,8830,9528,10333,10540,194
"Naples-Immokalee-Marco Island, FL","13,058","13,612","14,012","15,301","16,710","17,251",141
"Nashville-Davidson--Murfreesboro--Franklin, TN",87683,96273,101187,107850,117786,124243,33
"New Bern, NC","4,568","4,668","4,723","4,790","4,868","4,946",321
"New Haven-Milford, CT",39656,40236,40896,41151,42577,44120,62
"New Orleans-Metairie, LA","75,441","77,396","72,714","76,095","77,452","77,163",45
"New York-Newark-Jersey City, NY-NJ-PA",1363844,1439234,1477046,1542759,1608345,1657457,1
"Niles-Benton Harbor, MI","5,856","5,854","6,181","6,426","6,660","6,692",254
"North Port-Sarasota-Bradenton, FL",23035,23688,24478,26264,28272,29821,86
"Norwich-New London, CT","14,525","14,561","14,465","14,219","15,009","15,854",151
"Ocala, FL",7008,7166,7065,7477,7826,8380,223
"Ocean City, NJ","4,348","4,389","4,748","4,967","4,995","5,205",305
"Odessa, TX",8006,10010,11106,11865,10157,8718,219
"Ogden-Clearfield, UT","21,127","20,900","21,647","22,511","23,972","24,973",101
"Oklahoma City, OK",60630,63356,67693,70269,71528,70235,49
"Olympia-Tumwater, WA","9,527","9,675","10,005","10,283","10,867","11,486",185
"Omaha-Council Bluffs, NE-IA",50026,52466,53631,57413,59673,61289,52
"Orlando-Kissimmee-Sanford, FL","100,674","103,535","115,263","115,332","121,422","126,797",32
"Oshkosh-Neenah, WI",8692,8981,9007,9324,9788,10191,197
"Owensboro, KY","5,015","4,908","5,239","5,373","5,526","5,588",289
"Oxnard-Thousand Oaks-Ventura, CA",43832,45688,47680,48820,49198,48517,60
"Palm Bay-Melbourne-Titusville, FL","17,886","17,767","18,194","18,621","19,543","20,384",118
"Panama City, FL",6901,6968,7605,7889,8145,8277,224
"Parkersburg-Vienna, WV","3,511","3,596","3,782","4,080","4,033","3,915",356
"Pensacola-Ferry Pass-Brent, FL",14698,15157,15845,16035,16736,17533,138
"Peoria, IL","20,416","22,408","19,768","20,233","19,926","20,001",121
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",355924,370052,389787,400520,417698,431038,8
"Phoenix-Mesa-Scottsdale, AZ","186,384","195,629","199,872","209,567","220,087","230,070",16
"Pine Bluff, AR",3158,3205,3173,3098,2961,2931,374
"Pittsburgh, PA","119,653","122,439","126,824","133,731","136,866","138,187",25
"Pittsfield, MA",5865,6143,5917,6008,6294,6612,255
"Pocatello, ID","2,506","2,566","2,454","2,498","2,589","2,692",378
"Portland-South Portland, ME",25991,26662,27120,28236,29644,30751,85
"Portland-Vancouver-Hillsboro, OR-WA","148,812","144,551","143,130","148,023","157,533","164,466",20
"Port St. Lucie, FL",11174,11509,11619,12003,12747,13383,172
"Prescott, AZ","4,884","5,033","5,024","5,336","5,536","5,841",281
"Providence-Warwick, RI-MA",68502,71042,72345,74627,77791,80164,43
"Provo-Orem, UT","15,996","16,879","17,948","19,138","21,535","23,251",109
"Pueblo, CO",4273,4454,4417,4631,4694,4858,324
"Punta Gorda, FL","3,219","3,443","3,301","3,596","3,905","4,114",346
"Racine, WI",7351,7640,7535,7649,7933,7949,232
"Raleigh, NC","59,646","62,615","64,534","68,557","74,565","79,843",44
"Rapid City, SD",5648,5853,5917,6213,6279,6490,256
"Reading, PA","15,667","16,092","16,533","17,981","18,986","19,924",123
"Redding, CA",5130,5086,5263,5579,5893,6198,265
"Reno, NV","19,487","19,481","20,273","21,650","24,633","25,845",99
"Richmond, VA",64053,67572,69831,72181,76861,80702,42
"Riverside-San Bernardino-Ontario, CA","119,301","120,558","127,900","134,037","142,687","149,059",23
"Roanoke, VA",13425,13826,14090,14357,15086,15309,157
"Rochester, MN","9,941","10,491","10,658","11,081","11,475","12,001",181
"Rochester, NY",50349,51839,53141,52653,54445,55426,56
"Rockford, IL","12,970","13,701","13,723","14,203","14,569","14,817",159
"Rocky Mount, NC",6202,5953,6033,6031,6435,6154,268
"Rome, GA","3,242","3,380","3,497","3,598","3,707","3,819",359
"Sacramento--Roseville--Arden-Arcade, CA",97496,100316,104555,109404,115355,122218,34
"Saginaw, MI","7,284","7,462","7,644","7,764","7,950","8,244",226
"St. Cloud, MN",7865,8259,8539,9056,9319,9949,203
"St. George, UT","3,598","3,712","3,955","4,239","4,690","5,129",312
"St. Joseph, MO-KS",4837,5311,5610,5446,5398,5433,296
"St. Louis, MO-IL","137,449","142,184","146,334","150,846","156,215","159,888",22
"Salem, OR",12464,12713,13132,14059,15303,16076,149
"Salinas, CA","18,531","19,254","20,579","20,949","22,125","22,520",111
"Salisbury, MD-DE",13666,13952,15130,16247,16801,17613,135
"Salt Lake City, UT","67,150","70,114","71,636","75,221","80,684","84,826",41
"San Angelo, TX",4316,4490,4828,5313,5061,4839,325
"San Antonio-New Braunfels, TX","87,544","93,331","101,348","110,299","112,171","116,538",35
"San Diego-Carlsbad, CA",183311,189294,198546,205090,210679,215343,17
"San Francisco-Oakland-Hayward, CA","340,757","366,459","385,843","412,423","440,246","470,529",7
"San Jose-Sunnyvale-Santa Clara, CA",172628,181105,193840,210718,236217,252487,14
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","11,413","12,065","13,110","13,407","14,027","14,272",161
"Santa Cruz-Watsonville, CA",10798,10857,11719,12254,12806,13581,168
"Santa Fe, NM","6,696","6,626","6,974","6,745","7,055","7,120",246
"Santa Maria-Santa Barbara, CA",21226,21916,22930,23658,24918,24941,102
"Santa Rosa, CA","21,163","21,446","22,915","24,398","26,387","27,311",93
"Savannah, GA",13992,14829,15307,16203,17049,17606,136
"Scranton--Wilkes-Barre--Hazleton, PA","20,236","20,528","21,871","21,815","22,653","23,068",110
"Seattle-Tacoma-Bellevue, WA",250148,267472,280291,295994,311347,330409,11
"Sebastian-Vero Beach, FL","4,144","4,431","4,418","4,820","5,197","5,570",291
"Sebring, FL",1921,1989,1975,1909,1965,2011,382
"Sheboygan, WI","4,991","5,411","5,514","5,689","5,787","6,006",274
"Sherman-Denison, TX",3630,3714,3977,4004,4178,4292,339
"Shreveport-Bossier City, LA","21,608","20,862","21,602","22,074","20,802","20,437",117
"Sierra Vista-Douglas, AZ",4415,4202,3968,3847,3878,3942,354
"Sioux City, IA-NE-SD","8,390","8,137","8,696","8,727","9,204","9,522",208
"Sioux Falls, SD",14922,15948,15919,16784,17933,18729,129
"South Bend-Mishawaka, IN-MI","12,309","12,485","12,408","12,904","13,488","14,099",163
"Spartanburg, SC",11923,12094,12547,13349,14304,15183,158
"Spokane-Spokane Valley, WA","21,204","21,232","21,555","22,521","23,386","23,977",106
"Springfield, IL",9549,9543,9391,9814,9845,9907,205
"Springfield, MA","23,121","24,005","24,699","25,235","26,518","27,333",92
"Springfield, MO",15504,15838,16529,17107,18069,18605,131
"Springfield, OH","3,817","3,950","4,095","4,208","4,229","4,317",338
"State College, PA",6777,7283,7837,8302,8583,8667,221
"Staunton-Waynesboro, VA","4,599","4,389","4,558","4,706","4,976","4,980",319
"Stockton-Lodi, CA",21261,21965,22714,23259,24768,26190,98
"Sumter, SC","3,192","3,486","3,522","3,601","3,648","3,690",362
"Syracuse, NY",29391,30346,30428,31218,32095,32683,80
"Tallahassee, FL","13,435","13,941","14,146","14,446","14,844","15,784",152
"Tampa-St. Petersburg-Clearwater, FL",112547,117711,125715,127948,134579,142633,24
"Terre Haute, IN","6,269","6,257","6,418","6,359","6,252","6,216",262
"Texarkana, TX-AR",5152,5133,4876,4917,5119,5298,304
"The Villages, FL","1,973","2,081","2,146","2,323","2,407","2,590",379
"Toledo, OH",29093,29649,30542,33384,32606,33158,79
"Topeka, KS","9,548","9,836","9,819","10,030","10,048","10,471",195
"Trenton, NJ",26008,30029,28719,28953,29717,31203,84
"Tucson, AZ","34,894","36,720","36,147","36,405","36,257","37,040",76
"Tulsa, OK",53674,57469,62959,67593,60759,58248,54
"Tuscaloosa, AL","10,858","10,807","11,211","11,061","11,366","10,888",190
"Tyler, TX",13473,13664,15001,15616,13633,13499,170
"Urban Honolulu, HI","53,342","55,267","57,315","58,953","61,951","64,756",50
"Utica-Rome, NY",9899,10169,10309,10310,10473,10637,193
"Valdosta, GA","4,334","4,546","4,530","4,633","4,719","4,777",327
"Vallejo-Fairfield, CA",15524,16552,17923,18716,19502,20295,119
"Victoria, TX","4,385","4,933","5,416","5,676","5,192","4,665",331
"Vineland-Bridgeton, NJ",5228,5306,5281,5463,5611,5751,283
"Virginia Beach-Norfolk-Newport News, VA-NC","83,353","84,485","85,414","87,084","91,876","92,827",39
"Visalia-Porterville, CA",14057,13195,14194,15259,14911,15656,153
"Waco, TX","9,207","9,744","10,295","10,752","11,299","11,892",183
"Walla Walla, WA",2615,2644,2695,2659,2752,2867,376
"Warner Robins, GA","6,449","6,532","6,538","6,678","6,756","6,890",251
"Washington-Arlington-Alexandria, DC-VA-MD-WV",444001,454229,459273,471272,493651,509224,5
"Waterloo-Cedar Falls, IA","7,791","9,277","8,601","9,040","9,121","9,163",215
"Watertown-Fort Drum, NY",6508,6472,6384,6332,6153,6203,264
"Wausau, WI","6,079","6,596","6,791","7,167","7,547","7,686",237
"Weirton-Steubenville, WV-OH",3858,4000,4002,4313,4110,4023,352
"Wenatchee, WA","4,033","4,151","4,161","4,306","4,556","4,660",332
"Wheeling, WV-OH",6416,6862,6915,7372,7374,7265,242
"Wichita, KS","28,841","30,014","28,700","30,104","32,109","32,022",81
"Wichita Falls, TX",7112,7117,7708,7208,6321,6164,267
"Williamsport, PA","4,473","4,727","4,942","5,251","4,927","4,659",333
"Wilmington, NC",11048,10852,11885,12682,13492,14192,162
"Winchester, VA-WV","5,263","5,505","5,698","5,887","6,241","6,296",260
"Winston-Salem, NC",24507,24357,25129,27220,28738,28747,89
"Worcester, MA-CT","35,625","36,528","37,409","38,177","39,923","42,286",66
"Yakima, WA",8676,8767,8737,9028,9034,9216,214
"York-Hanover, PA","16,532","16,312","17,025","17,271","17,909","18,631",130
"Youngstown-Warren-Boardman, OH-PA",19135,19213,18870,19505,19860,19966,122
"Yuba City, CA","4,958","4,934","5,227","5,341","5,560","5,738",284
"Yuma, AZ",5934,5670,6005,5852,6239,6358,258
